,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.014032283627578267,0.10925306750934932,0.2670381577360965,0.027772143932554505,0.14563287402187555,0.028684003347097493,0.13061662851479675,0.04486046211845191
IAR,0.014032283627578267,,0.016981050006350213,0.039070798756957924,0.011746143197227072,0.02158375170164071,0.04150345781572033,0.012603992136623636,0.018023022411529473
LR,0.10925306750934932,0.016981050006350213,,0.08196957445719284,0.7021357662707985,0.20067946525341374,0.017071714770506004,0.032696111263058505,0.029798978194270825
LAS,0.2670381577360965,0.039070798756957924,0.08196957445719284,,0.0035767256428496856,0.7360234095170988,0.055504927003264384,0.11667493772956591,0.07985126084136779
QRF,0.027772143932554505,0.011746143197227072,0.7021357662707985,0.0035767256428496856,,0.015427960763197881,0.013122082021756224,0.018019671583315404,0.0180526781266357
QGB,0.14563287402187555,0.02158375170164071,0.20067946525341374,0.7360234095170988,0.015427960763197881,,0.03733338652073085,0.08717155028055823,0.051906991308391985
DMQv0c,0.028684003347097493,0.04150345781572033,0.017071714770506004,0.055504927003264384,0.013122082021756224,0.03733338652073085,,0.009678350619100034,0.8748013544046728
DMQv1c,0.13061662851479675,0.012603992136623636,0.032696111263058505,0.11667493772956591,0.018019671583315404,0.08717155028055823,0.009678350619100034,,0.06587472106051062
DMQv2c,0.04486046211845191,0.018023022411529473,0.029798978194270825,0.07985126084136779,0.0180526781266357,0.051906991308391985,0.8748013544046728,0.06587472106051062,
