,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.061504547087304025,0.18711918565719587,0.5791892743223132,0.00020143446827692674,0.05780999762484627,0.3057604555849439,0.2914744211920216,0.8156709317013995
UAR,0.061504547087304025,,0.31807793421298536,0.023187388729673637,0.0006471724950573946,0.0006366185049669375,0.013502860638188981,0.0051271735623698534,0.4435761293591495
LR,0.18711918565719587,0.31807793421298536,,0.17892430138073312,0.13148721810798378,0.1354694716111858,0.13202957646711913,0.15335350499959702,0.24480325982171336
LAS,0.5791892743223132,0.023187388729673637,0.17892430138073312,,0.00918954726205717,0.05340909776387801,0.3826693679521418,0.44100262654257627,0.7036438002934093
QRF,0.00020143446827692674,0.0006471724950573946,0.13148721810798378,0.00918954726205717,,0.9929469763509203,0.7692281669819209,0.8594728566324632,0.3532393068521229
QGB,0.05780999762484627,0.0006366185049669375,0.1354694716111858,0.05340909776387801,0.9929469763509203,,0.756734338396124,0.8456557611062354,0.3527755703791122
DMQv0c,0.3057604555849439,0.013502860638188981,0.13202957646711913,0.3826693679521418,0.7692281669819209,0.756734338396124,,0.5386595810747064,0.12040726926479511
DMQv1c,0.2914744211920216,0.0051271735623698534,0.15335350499959702,0.44100262654257627,0.8594728566324632,0.8456557611062354,0.5386595810747064,,0.19661427109116192
DMQv2c,0.8156709317013995,0.4435761293591495,0.24480325982171336,0.7036438002934093,0.3532393068521229,0.3527755703791122,0.12040726926479511,0.19661427109116192,
