Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv0,13.9,10.8,20.1,30.2,10.4,17.080000000000002
DMQv1,25.4,6.3,9.1,22.3,2.5,13.12
QRF,-5.5,1.8,6.9,12.8,9.6,5.12
DMQs,-28.5,-4.9,7.7,26.5,21.7,4.5
Naive,2.2,0.7,0.8,0.4,0.1,0.8400000000000001
AR1,2.1,0.7,0.7,0.2,-0.1,0.72
DMQl,-10.3,-11.6,-15.9,24.0,11.8,-0.3999999999999993
VG,-10.5,-6.7,-4.2,7.0,4.0,-2.0799999999999996
QGB,-71.7,-8.0,8.2,29.5,7.5,-6.9
DMQm,-23.4,-22.7,-20.5,-6.9,-63.6,-27.419999999999998
EN,-67.0,-21.6,-50.9,-10.7,-11.6,-32.36
QR,-954.8,-1152.6,-218.4,-1003.6,-1799.2,-1025.7199999999998
